warehouse_name,cluster
ГРИВНО_РФЦ,Москва-Запад
ГРИВНО_РФЦ_НЕГАБАРИТ,Москва-Запад
ДАВЫДОВСКОЕ_РФЦ_НЕГАБАРИТ,Москва-Запад
ПАВЛОВСКАЯ_СЛОБОДА_РФЦ_НЕГАБАРИТ,Москва-Запад
ПЕТРОВСКОЕ_РФЦ,Москва-Запад
ХОРУГВИНО_РФЦ,Москва-Запад
ХОРУГВИНО_РФЦ_НЕГАБАРИТ,Москва-Запад
СОФЬИНО_РФЦ,Москва-Запад
ЖУКОВСКИЙ_РФЦ,Москва-Восток и Дальние регионы
НОГИНСК_РФЦ,Москва-Восток и Дальние регионы
ПУШКИНО_1_РФЦ,Москва-Восток и Дальние регионы
ПУШКИНО_2_РФЦ,Москва-Восток и Дальние регионы
ТВЕРЬ_РФЦ,Москва-Восток и Дальние регионы
ТВЕРЬ_ХАБ,Москва-Восток и Дальние регионы
САНКТ_ПЕТЕРБУРГ_РФЦ,Санкт-Петербург и СЗО
СПБ_БУГРЫ_РФЦ,Санкт-Петербург и СЗО
СПБ_БУГРЫ_РФЦ_ЮВЕЛИРНЫЙ,Санкт-Петербург и СЗО
СПБ_ШУШАРЫ_РФЦ,Санкт-Петербург и СЗО
СПБ_ШУШАРЫ_РФЦ_НЕГАБАРИТ,Санкт-Петербург и СЗО
ВОРОНЕЖ_МРФЦ,Дон
ВОРОНЕЖ_2_РФЦ,Дон
ВОЛГОГРАД_МРФЦ,Дон
РОСТОВ_НА_ДОНУ_РФЦ,Дон
АДЫГЕЙСК_РФЦ,Юг
АДЫГЕЙСК_РФЦ_ЮВЕЛИРНЫЙ,Юг
НОВОРОССИЙСК_МРФЦ,Юг
НЕВИННОМЫССК_РФЦ,Юг
КАЗАНЬ_РФЦ,Поволжье
НИЖНИЙ_НОВГОРОД_РФЦ,Поволжье
САМАРА_РФЦ,Поволжье
ЕКАТЕРИНБУРГ_РФЦ,Урал
ЕКАТЕРИНБУРГ_РФЦ_НЕГАБАРИТ,Урал
КРАСНОЯРСК_МРФЦ,Сибирь
НОВОСИБИРСК_РФЦ,Сибирь
КАЛИНИНГРАД_МРФЦ,Калининград
ХАБАРОВСК_РФЦ,Дальний Восток
ХАБАРОВСК_2_РФЦ,Дальний Восток
МИНСК_МПСЦ,Беларусь
АСТАНА_РФЦ,Казахстан
АЛМАТЫ_МРФЦ,Казахстан
Новосибирск_РФЦ_НОВЫЙ,Сибирь
Екатеринбург_РФЦ_НОВЫЙ,Урал
Казань_РФЦ_НОВЫЙ,Поволжье
РОСТОВ-НА-ДОНУ_РФЦ,Дон
ХОРУГВИНО_КГТ,МОСКВА-ЗАПАД
