client,cluster,offer_id,free_to_sell_amount,date
Oledi,Поволжье,sd30,89,2024-07-12
Oledi,Санкт-Петербург и СЗО,sd30,69,2024-07-12
Oledi,Юг,sd30,63,2024-07-12
Oledi,Москва-Восток и Дальние регионы,sd30,57,2024-07-12
Oledi,Урал,sd30,45,2024-07-12
Oledi,Калининград,sd30,40,2024-07-12
Oledi,Москва-Запад,sd30,29,2024-07-12
Oledi,Москва-Восток и Дальние регионы,sd51,13,2024-07-12
Oledi,Урал,sd71,13,2024-07-12
Oledi,Урал,sd51,11,2024-07-12
Oledi,Москва-Восток и Дальние регионы,sd71,10,2024-07-12
Oledi,Санкт-Петербург и СЗО,sd51,9,2024-07-12
Oledi,Поволжье,sd31,8,2024-07-12
Oledi,Санкт-Петербург и СЗО,sd71,8,2024-07-12
Oledi,Юг,sd31,6,2024-07-12
Oledi,Сибирь,sd30,3,2024-07-12
Oledi,Калининград,sd71,3,2024-07-12
Oledi,Москва-Запад,sd51,3,2024-07-12
Oledi,Москва-Восток и Дальние регионы,sd31,2,2024-07-12
Oledi,Калининград,sd51,2,2024-07-12
Oledi,Москва-Запад,sd71,2,2024-07-12
Oledi,Сибирь,sd71,1,2024-07-12
Oledi,Сибирь,sd51,0,2024-07-12
Oledi,Юг,sd51,0,2024-07-12
Oledi,Дальний Восток,sd30,0,2024-07-12
Oledi,Поволжье,sd71,0,2024-07-12
Oledi,Поволжье,sd51,0,2024-07-12
Oledi,Дальний Восток,sd51,0,2024-07-12
Oledi,Москва-Запад,sd31,0,2024-07-12
Oledi,Дон,sd71,0,2024-07-12
Oledi,Дон,sd51,0,2024-07-12
Oledi,Дон,sd31,0,2024-07-12
Oledi,Дальний Восток,sd71,0,2024-07-12
Oledi,Юг,sd71,0,2024-07-12
Oledi,Поволжье,sd30,87,2024-07-13
Oledi,Санкт-Петербург и СЗО,sd30,63,2024-07-13
Oledi,Юг,sd30,63,2024-07-13
Oledi,Москва-Восток и Дальние регионы,sd30,57,2024-07-13
Oledi,Урал,sd30,46,2024-07-13
Oledi,Калининград,sd30,39,2024-07-13
Oledi,Москва-Запад,sd30,28,2024-07-13
Oledi,Урал,sd71,13,2024-07-13
Oledi,Урал,sd51,12,2024-07-13
Oledi,Москва-Восток и Дальние регионы,sd51,11,2024-07-13
Oledi,Москва-Восток и Дальние регионы,sd71,10,2024-07-13
Oledi,Санкт-Петербург и СЗО,sd51,9,2024-07-13
Oledi,Поволжье,sd31,8,2024-07-13
Oledi,Санкт-Петербург и СЗО,sd71,8,2024-07-13
Oledi,Юг,sd31,6,2024-07-13
Oledi,Сибирь,sd30,4,2024-07-13
Oledi,Калининград,sd71,3,2024-07-13
Oledi,Москва-Запад,sd51,3,2024-07-13
Oledi,Москва-Восток и Дальние регионы,sd31,2,2024-07-13
Oledi,Калининград,sd51,2,2024-07-13
Oledi,Москва-Запад,sd71,1,2024-07-13
Oledi,Сибирь,sd71,1,2024-07-13
Oledi,Сибирь,sd51,0,2024-07-13
Oledi,Юг,sd51,0,2024-07-13
Oledi,Дальний Восток,sd30,0,2024-07-13
Oledi,Поволжье,sd71,0,2024-07-13
Oledi,Поволжье,sd51,0,2024-07-13
Oledi,Дальний Восток,sd51,0,2024-07-13
Oledi,Москва-Запад,sd31,0,2024-07-13
Oledi,Дон,sd71,0,2024-07-13
Oledi,Дон,sd51,0,2024-07-13
Oledi,Дон,sd31,0,2024-07-13
Oledi,Дальний Восток,sd71,0,2024-07-13
Oledi,Юг,sd71,0,2024-07-13
Oledi,Поволжье,sd30,86,2024-07-14
Oledi,Санкт-Петербург и СЗО,sd30,61,2024-07-14
Oledi,Юг,sd30,56,2024-07-14
Oledi,Москва-Восток и Дальние регионы,sd30,54,2024-07-14
Oledi,Сибирь,sd30,50,2024-07-14
Oledi,Урал,sd30,45,2024-07-14
Oledi,Калининград,sd30,39,2024-07-14
Oledi,Москва-Запад,sd30,26,2024-07-14
Oledi,Урал,sd71,13,2024-07-14
Oledi,Урал,sd51,12,2024-07-14
Oledi,Москва-Восток и Дальние регионы,sd51,10,2024-07-14
Oledi,Санкт-Петербург и СЗО,sd51,9,2024-07-14
Oledi,Москва-Восток и Дальние регионы,sd71,9,2024-07-14
Oledi,Санкт-Петербург и СЗО,sd71,8,2024-07-14
Oledi,Поволжье,sd31,7,2024-07-14
Oledi,Сибирь,sd71,6,2024-07-14
Oledi,Сибирь,sd51,5,2024-07-14
Oledi,Юг,sd31,5,2024-07-14
Oledi,Калининград,sd71,3,2024-07-14
Oledi,Москва-Восток и Дальние регионы,sd31,2,2024-07-14
Oledi,Москва-Запад,sd51,2,2024-07-14
Oledi,Калининград,sd51,2,2024-07-14
Oledi,Москва-Запад,sd71,1,2024-07-14
Oledi,Юг,sd51,0,2024-07-14
Oledi,Дальний Восток,sd30,0,2024-07-14
Oledi,Поволжье,sd71,0,2024-07-14
Oledi,Поволжье,sd51,0,2024-07-14
Oledi,Дальний Восток,sd51,0,2024-07-14
Oledi,Москва-Запад,sd31,0,2024-07-14
Oledi,Дон,sd71,0,2024-07-14
Oledi,Дон,sd51,0,2024-07-14
Oledi,Дон,sd31,0,2024-07-14
Oledi,Дальний Восток,sd71,0,2024-07-14
Oledi,Юг,sd71,0,2024-07-14
Oledi,Поволжье,sd30,84,2024-07-15
Oledi,Санкт-Петербург и СЗО,sd30,62,2024-07-15
Oledi,Юг,sd30,53,2024-07-15
Oledi,Москва-Восток и Дальние регионы,sd30,50,2024-07-15
Oledi,Сибирь,sd30,50,2024-07-15
Oledi,Дальний Восток,sd30,45,2024-07-15
Oledi,Урал,sd30,43,2024-07-15
Oledi,Калининград,sd30,39,2024-07-15
Oledi,Москва-Запад,sd30,26,2024-07-15
Oledi,Урал,sd71,13,2024-07-15
Oledi,Урал,sd51,12,2024-07-15
Oledi,Москва-Запад,sd51,12,2024-07-15
Oledi,Москва-Запад,sd71,10,2024-07-15
Oledi,Москва-Восток и Дальние регионы,sd71,9,2024-07-15
Oledi,Москва-Восток и Дальние регионы,sd51,9,2024-07-15
Oledi,Санкт-Петербург и СЗО,sd51,9,2024-07-15
Oledi,Санкт-Петербург и СЗО,sd71,7,2024-07-15
Oledi,Поволжье,sd31,6,2024-07-15
Oledi,Сибирь,sd71,6,2024-07-15
Oledi,Сибирь,sd51,5,2024-07-15
Oledi,Дальний Восток,sd51,5,2024-07-15
Oledi,Дальний Восток,sd71,5,2024-07-15
Oledi,Юг,sd31,5,2024-07-15
Oledi,Калининград,sd51,2,2024-07-15
Oledi,Поволжье,sd71,1,2024-07-15
Oledi,Москва-Восток и Дальние регионы,sd31,1,2024-07-15
Oledi,Калининград,sd71,1,2024-07-15
Oledi,Дон,sd31,0,2024-07-15
Oledi,Дон,sd51,0,2024-07-15
Oledi,Поволжье,sd51,0,2024-07-15
Oledi,Дон,sd71,0,2024-07-15
Oledi,Юг,sd51,0,2024-07-15
Oledi,Юг,sd71,0,2024-07-15
Oledi,Поволжье,sd30,84,2024-07-16
Oledi,Санкт-Петербург и СЗО,sd30,58,2024-07-16
Oledi,Юг,sd30,51,2024-07-16
Oledi,Москва-Восток и Дальние регионы,sd30,50,2024-07-16
Oledi,Сибирь,sd30,49,2024-07-16
Oledi,Дальний Восток,sd30,45,2024-07-16
Oledi,Урал,sd30,42,2024-07-16
Oledi,Калининград,sd30,38,2024-07-16
Oledi,Москва-Запад,sd30,26,2024-07-16
Oledi,Урал,sd71,13,2024-07-16
Oledi,Урал,sd51,11,2024-07-16
Oledi,Москва-Запад,sd51,11,2024-07-16
Oledi,Дон,sd51,10,2024-07-16
Oledi,Поволжье,sd71,9,2024-07-16
Oledi,Поволжье,sd51,9,2024-07-16
Oledi,Москва-Восток и Дальние регионы,sd51,9,2024-07-16
Oledi,Дон,sd71,8,2024-07-16
Oledi,Москва-Восток и Дальние регионы,sd71,8,2024-07-16
Oledi,Санкт-Петербург и СЗО,sd51,7,2024-07-16
Oledi,Санкт-Петербург и СЗО,sd71,7,2024-07-16
Oledi,Сибирь,sd71,6,2024-07-16
Oledi,Дальний Восток,sd51,5,2024-07-16
Oledi,Москва-Запад,sd71,5,2024-07-16
Oledi,Дальний Восток,sd71,5,2024-07-16
Oledi,Юг,sd31,5,2024-07-16
Oledi,Поволжье,sd31,4,2024-07-16
Oledi,Сибирь,sd51,4,2024-07-16
Oledi,Калининград,sd51,2,2024-07-16
Oledi,Калининград,sd71,1,2024-07-16
Oledi,Дон,sd31,0,2024-07-16
Oledi,Дон,sd30,0,2024-07-16
Oledi,Юг,sd51,0,2024-07-16
Oledi,Юг,sd71,0,2024-07-16
Oledi,Поволжье,sd30,84,2024-07-17
Oledi,Санкт-Петербург и СЗО,sd30,54,2024-07-17
Oledi,Юг,sd30,49,2024-07-17
Oledi,Сибирь,sd30,49,2024-07-17
Oledi,Москва-Восток и Дальние регионы,sd30,48,2024-07-17
Oledi,Дальний Восток,sd30,45,2024-07-17
Oledi,Урал,sd30,42,2024-07-17
Oledi,Калининград,sd30,38,2024-07-17
Oledi,Москва-Запад,sd30,26,2024-07-17
Oledi,Урал,sd71,13,2024-07-17
Oledi,Урал,sd51,11,2024-07-17
Oledi,Дон,sd51,10,2024-07-17
Oledi,Москва-Запад,sd51,9,2024-07-17
Oledi,Поволжье,sd51,9,2024-07-17
Oledi,Дон,sd71,8,2024-07-17
Oledi,Москва-Восток и Дальние регионы,sd51,8,2024-07-17
Oledi,Москва-Восток и Дальние регионы,sd71,8,2024-07-17
Oledi,Поволжье,sd71,8,2024-07-17
Oledi,Санкт-Петербург и СЗО,sd51,7,2024-07-17
Oledi,Сибирь,sd71,6,2024-07-17
Oledi,Москва-Запад,sd71,5,2024-07-17
Oledi,Юг,sd31,5,2024-07-17
Oledi,Санкт-Петербург и СЗО,sd71,5,2024-07-17
Oledi,Дальний Восток,sd71,5,2024-07-17
Oledi,Поволжье,sd31,3,2024-07-17
Oledi,Сибирь,sd51,3,2024-07-17
Oledi,Дальний Восток,sd51,3,2024-07-17
Oledi,Калининград,sd71,1,2024-07-17
Oledi,Калининград,sd51,1,2024-07-17
Oledi,Дон,sd30,0,2024-07-17
Oledi,Юг,sd51,0,2024-07-17
Oledi,Юг,sd71,0,2024-07-17
Oledi,Поволжье,sd30,83,2024-07-18
Oledi,Санкт-Петербург и СЗО,sd30,54,2024-07-18
Oledi,Сибирь,sd30,50,2024-07-18
Oledi,Юг,sd30,48,2024-07-18
Oledi,Москва-Восток и Дальние регионы,sd30,45,2024-07-18
Oledi,Дальний Восток,sd30,43,2024-07-18
Oledi,Урал,sd30,42,2024-07-18
Oledi,Калининград,sd30,38,2024-07-18
Oledi,Москва-Запад,sd30,19,2024-07-18
Oledi,Урал,sd71,13,2024-07-18
Oledi,Дон,sd51,10,2024-07-18
Oledi,Урал,sd51,10,2024-07-18
Oledi,Поволжье,sd51,9,2024-07-18
Oledi,Юг,sd71,9,2024-07-18
Oledi,Москва-Запад,sd51,9,2024-07-18
Oledi,Дон,sd71,8,2024-07-18
Oledi,Юг,sd51,8,2024-07-18
Oledi,Москва-Восток и Дальние регионы,sd51,8,2024-07-18
Oledi,Москва-Восток и Дальние регионы,sd71,7,2024-07-18
Oledi,Санкт-Петербург и СЗО,sd51,7,2024-07-18
Oledi,Поволжье,sd71,6,2024-07-18
Oledi,Юг,sd31,5,2024-07-18
Oledi,Сибирь,sd71,5,2024-07-18
Oledi,Дальний Восток,sd71,5,2024-07-18
Oledi,Москва-Запад,sd71,4,2024-07-18
Oledi,Сибирь,sd51,3,2024-07-18
Oledi,Дальний Восток,sd51,3,2024-07-18
Oledi,Поволжье,sd31,3,2024-07-18
Oledi,Санкт-Петербург и СЗО,sd71,2,2024-07-18
Oledi,Калининград,sd71,1,2024-07-18
Oledi,Дон,sd30,0,2024-07-18
MaX_Dz,Москва-Запад,5 сушил,55,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Автополив 1,45,2024-07-03
MaX_Dz,Москва-Запад,Замок_на_шкафчик,35,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Полотенцесушитель,30,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Замок_на_шкафчик,29,2024-07-03
MaX_Dz,Поволжье,Замок_на_шкафчик,21,2024-07-03
MaX_Dz,Москва-Запад,Замок_электрон 8,19,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Смарт_карта01,17,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Автополив_5,16,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Отпугиватель_зеленый,16,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Смарт_карта01,16,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Замок_на_шкафчик,15,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,5 сушил,14,2024-07-03
MaX_Dz,Москва-Запад,Полотенцесушитель,14,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Автополив4_квадратный,14,2024-07-03
MaX_Dz,Поволжье,Замок_электрон 8,14,2024-07-03
MaX_Dz,Поволжье,Полотенцесушитель,14,2024-07-03
MaX_Dz,Юг,Замок_на_шкафчик,13,2024-07-03
MaX_Dz,Москва-Запад,Отпугиватель_зеленый,13,2024-07-03
MaX_Dz,Юг,Автополив_5,13,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Замок_электрон 8,12,2024-07-03
MaX_Dz,Москва-Запад,Коньки_детские,12,2024-07-03
MaX_Dz,Сибирь,Замок_на_шкафчик,11,2024-07-03
MaX_Dz,Сибирь,Автополив_5,11,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Полотенцесушитель,11,2024-07-03
MaX_Dz,Москва-Запад,Замок_электрон2 накладной,11,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Сушило_нов_сталь,10,2024-07-03
MaX_Dz,Дон,Сушило_нов_черный,10,2024-07-03
MaX_Dz,Дон,Замок_электрон 8,10,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Сушило_нов_сталь,10,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Замок_электрон 9,10,2024-07-03
MaX_Dz,Москва-Запад,Замок_электрон_6_без_завертки,10,2024-07-03
MaX_Dz,Сибирь,Коньки_детские,10,2024-07-03
MaX_Dz,Сибирь,Полотенцесушитель,10,2024-07-03
MaX_Dz,Сибирь,Сушило_нов_сталь,10,2024-07-03
MaX_Dz,Юг,Полотенцесушитель,10,2024-07-03
MaX_Dz,Дон,Замок_на_шкафчик,9,2024-07-03
MaX_Dz,Юг,Велосумка_20л,9,2024-07-03
MaX_Dz,Юг,Сушило_нов_черный,9,2024-07-03
MaX_Dz,Санкт-Петербург и СЗО,Замок_электрон 9,9,2024-07-03
MaX_Dz,Юг,Сушило_нов_сталь,9,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Замок_электрон2 накладной,9,2024-07-03
MaX_Dz,Москва-Запад,Велосумка для руля,9,2024-07-03
MaX_Dz,Москва-Запад,Сушило_нов_сталь,9,2024-07-03
MaX_Dz,Москва-Запад,Автополив_5,9,2024-07-03
MaX_Dz,Дон,Полотенцесушитель,9,2024-07-03
MaX_Dz,Поволжье,Замок_электрон2 накладной,8,2024-07-03
MaX_Dz,Москва-Запад,Велосумка_с_экраном,8,2024-07-03
MaX_Dz,Урал,Замок_электрон2 накладной,8,2024-07-03
MaX_Dz,Сибирь,Замок_электрон2 накладной,8,2024-07-03
MaX_Dz,Сибирь,Автополив_2,8,2024-07-03
MaX_Dz,Москва-Восток и Дальние регионы,Замок_электрон 8,8,2024-07-03
MaX_Dz,Поволжье,5 сушил,8,2024-07-03
MaX_Dz,Урал,Замок_электрон 8,8,2024-07-03
